You have to be a Himmatwala to watch Himmatwala	1	United Arab Emirates	You need to be brave, courageous and strong to watch this Movie. This more like a Torture than an Entertainer. Sajid Khan Claimed that this is the best movie he made. HE must visit a Doctor. Ajay Devgn shouldn&#x27;t sign movies which are remakes. It&#x27;s sad and disappointing to see a fantastic actor losing his track by doing these crap Masala movies. Well Now for the Movie Direction : It&#x27;s weak and not worth commenting. This worst Sajid Khan&#x27;s Movie ever. Dialogues are average. Looks like a 10 year old wrote it.Performances : Ajay Devgn tries hard but the script is awful. Ajay Is just okay. He looks convincing though. He has a one or two good scenes but that &#x27;s not enough. Tamannaah Bhatia is wasted . She is beautiful and has a screen presence but she is more like a Talking Doll. Mahesh Manjrekar is good. Paresh Rawal is the SAVING GRACE of the movie. His performance will make you laugh. Rest of the cast is purely average.Music : The original was famous for it&#x27;s music and it&#x27;s dance set pieces. The music isn&#x27;t great expect the 2 songs &#x22;Taki Taki&#x22; and &#x22; Naino Mein Sapna&#x22;. But the choreography is AWFUL.There are 2 item songs. Not Great.Action : It&#x27;s over the ROOF TOP. Senseless to be frank. Overall : It&#x27;s a Waste of time. Better watch &#x22;JOLLY L.L.B&#x22; or &#x27;Mere Dad Ki Maruti&#x27; Wait for It : It has A TIGER!!!! AJAY DEVGN FIGHTS WITH A TIGER AND WINS!!! YES A TIGER!!! OHH GOD WHY???0.5/5This is a HUGE DISAPPOINTMENT!!This movie can can be Compared his Sister&#x27;s with Tees Maar Khan and His Brother-in-Law&#x27;s Joker. 
It will raise a big question on the intellect of 21st centurys Indian viewers  their choice of entertainment if this becomes another notable Hit of 2013.	1	India	Remembering the day, when I first heard Sajid Khan announcing an official remake of Jeetendra, Sridevi starrer HIMMATWALA released in 1983, I was really shocked since it was not a great film in terms of content despite of being a big hit in those tough years. Now the phrase &#x27;those tough years&#x27; has been used here, since the decade of 80s is apparently considered to be the most forgettable, amateurish and indecisive decade of Bollywood in the history of its 100 years of film- making as far as the commercial films are concerned. So making a remake of a film selected from that era was quite strange and weird to accept all of a sudden. Yet considering the successful track record of Sajid Khan, I thought that probably he might have cracked some worth trying comic idea within the same storyline and maybe would come up with something interesting rediscovering the 80s in his own version.But surprisingly it was really unacceptable to find that Sajid does nothing of that sort in his over-hyped film to please the new age viewers and just sticks to the same old melodramatic script full of all clich&#xE9;d plots not appealing to the present net generation at all. Now here an important question arises, that if one really is willing to see a film chosen from that forgotten era of the 80s, then he can easily opt for the original only, which at least would provide him the feeling of that &#x27;Pleasant Nostalgia&#x27; watching the jumping jack, Jeetendra and the owner of thundering thighs, Sridevi along with the incomparable witty Kader Khan performing at their best. And if he can easily get to see the film on the net just for free or on a DVD for only a few rupees then why on earth he would like to see the same outdated acts being performed by the present big stars at a cost of a high priced ticket?In other words, if Sajid simply assumed that the viewers in 2013 will really be amused to see Ajay Devgan deliberately doing all those over the top fights and emotional sequences without any contemporary touches or favourable changes introduced, then he was gravely mistaken in doing so, because the films utterly fails to make any kind of entertaining or emotional connect of that sort with the viewers in its pretty long length of 150 minutes. And the same can also be said for its entire cast too wherein Ajay Devgan looks like a clown performing in that peculiar style of the 80s hero, Tamannajust manages to look beautiful awfully speaking &#x22;I hate Gareebs&#x22; in a childish tone and one truly feels pity seeing an extremely gifted actor Paresh Rawal performing such a silly act wearing a horrible wig. To add further Sajid&#x27;s own self praised film falls completely flat in its soundtrack department too with the remixed tracks missing the required bubbly spirit and the fresh songs simply falling into the category of below average. However the cinematography does try to give you something to watch and so does the background music desperately trying to pump up the blood at regular intervals.Further replying to the bragging statements given by the director weeks before the release of his film I would like to say that for me neither Ajay&#x27;s entry had anything exceptional to cheer for nor I could appreciate the stupid spoof played on Alfred Hitchcock&#x27;s cult classic PSYCHO. So, if Sajid is firm on his statement of paying back the ticket amount to those who didn&#x27;t feel like clapping on Ajay&#x27;s entry in the film, then probably he would have to spend a lot paying many like-minded friends disagreeing to his assurances given like myself. In addition I also have another question for the director that if he was really making a film for that common man of the interiors who comes into the theater just for his escapist entertainment, then why were the few subtitles shown in the film written in English and not Hindi?Anyway, coming to the only silver lining in this black cloud, I would like to mention its two action sequences with the TIGER which easily transported me back to those years when we eagerly used to wait for a tiger fight in a film particularly the ones featuring the Garam Dharam. May be the kids would enjoy this more than the mature audiences which might become the only saving grace of the film to sustain in the home video market. Nevertheless, the truth remains that while watching the tiger in this bad remake, I just had the famous slogan in mind in a different form which said, &#x22;Save This Tiger&#x22; instead of &#x22;Save The Tiger&#x22; ironically.Summing up, one really needs guts to see this HIMMATWALA made with some questionable expectations by the makers, religiously following its outdated original of the past lacking the much needed appeal for the current generation. 
Sajid Khan needs a life	1	India	Sajid Khan ought to learn that being humble will help him survive not ego and showing off The arrogance he showed during the interviews proved that he thinks himself as a numero uno, after the success of his last 3 films he had the reasons and he thought he can take audiences for granted but he was proved wrong. The film is a remake of Himmatwala(1983) but barring the main plot(which is changed a lot) and some scenes the film is different from the original Sajid Khan minuses some characters like the mute guy, Shoma Anand, Asrani&#x27;s role from the original and adds new characters here In the original, Ravi was an engineer here he is a street fighter. Even the twist at the interval is different here The film however reminds us of the bad films made in 1980s and is cringe worthy to the say the least. Sajid Khan claimed that if people don&#x27;t clap at Ajay&#x27;s entry he will give the money back, and the entry is one of the best ever seen but sadly it isn&#x27;t. In the film, Ajay keeping into the trend of Son of Sardar does all Rajnikant type jigs like breaking the lock with his bare hands, fighting with a badly CG enhanced tiger, bending a rod.etc He also has to dance and compete with Jeetendra and he is a laugh riot The film has all the masala and everything that we wanna forget of the past. Sadly now days filmmakers have found a new mantra to success, rehashing old masala in the name of tribute, but sadly it is a farceDirection by Sajid Khan is nothing great Music by Sajid Wajid is ordinary, Naino Mein Sapna sung by Kishore&#x27;s son Amit Kumar and Shreya Ghoshal is well choreographed but lacks the zing of the original(obviously Ajay is no Jeetu and Tamannah is no Sridevi), Taaki sung by Mika and Shreya also isn&#x27;t that great The new songs Bum Pe Laat is ordinary and also Dhokha Action scenes are nothing greatAjay Devgn ought to change his script selection, he does a good job as usual, but sadly the actor in him is restricted, after all he has to please the chawani crowd but doing such films will not help him anywhere else.His dances are very bad Tammannah makes her comeback to bollywood after a debacle Chand Sa Roshan Chehra that released in 2005 and also starred another forgotten d&#xE9;butante Samir Aftab and then she went south and got famous, her acting isn&#x27;t anything great Mahesh Manjerekar tries to fit in Amjad Khan&#x27;s shoes but isn&#x27;t that effective, he doesn&#x27;t resort to his now trademark hamming but he is average Paresh Rawal does a mimicry of Kader Khan, amalgamating 2 roles of Kader Khan, Bhajrangi from Ghar Ho To Aisa(1990), he keeps speaking to the camera and the other from the original and he is good at times but overdoes it too often. Amongst rest Zarina Wahab repeats her Agneepath act and is getting typecast, we fear she may become the next Rakhee Adhyanan Suman is plastic in a role done by Shakti Kapoor in the original. Asrani who was in the original too is as usual rest are all okay 
Himmatwala is a threequel to TEES MAAR KHAN and JOKER !!! Thanks to Sajid Khan	1	India	When you remake a classic 80&#x27;s movie , you carry a big responsibility of living up to the audience&#x27;s expectation. Himmatwala carries of the genre of 80&#x27;s era but falls flat on the face with horrible direction and over- top-performance.Ravi( Ajay Devgan) returns to his village after 20 years to avenge his father&#x27;s murder from a cruel and heart-stoned Sher Singh ( Mahesh Manjrekar).Director of somewhat-OK Heyy Baby and pathetic Housefull series, Sajid Khan made of a fun of himself and the movie which will give you nothing but severe headache once you will leave the theater. The running time of 2.30 hrs does seems elongated with a pale script which has more loopholes than the government services. Have not we witnessed such kind of story in India cinema before ? When you have so many talents and creativity this year for trying out something new , you have a film like Himmatwala which is a reflection of bad light in Bollywood. Worst scenes include the spoof on Psycho ( yes you heard it right) - the classic scene where a woman in shower is murdered by a stranger, the fight scene between tiger and Ajay Devgan , the chemistry between Tamanna and Devgan - the list is endless. I feel bad for actors like Ajay Devgan and Paresh Rawal wasting their talents in film like this. Music is irritating . Cinematography is good. Art direction nice depicting the era of 80&#x27;s very well. Performance by other stars are insignificant. Overall , a bad film at every aspect. Sajid Khan completes the series of disaster right after TEES MAAR KHAN , JOKER and now HIMMATWALA. 
Great story, disaster movie	2	London, England	On the surface, it has the potential for a great film; a poor family being grossly mistreated by a local wealthy landowner resulting in the death of the father and the getting away of the son.Several years later, the deceased son&#x27;s closest friend returns to that village to get things right.Yet, despite the pedigree of the main story, the powers that be decided to make a B film, or even C, out of it. Tacky, tasteless it falls short of expectation.Even when this is somewhat improved on the second half it is not enough to save this whereby had it not been for the moral of the story I would have walked out the theatre long before it was over.Perhaps I ought to see the 1983 original. 
Himmatwala Review- An old fashioned but entertaining film	8	india	Movie: Himmatwala Rating: 4/5After seeing my rating, most of you will think why I did this. Actually, I liked this movie. I did not find a reason to dislike it at all. Except of the fact that the film is a bit old fashioned, there is nothing bad, its an entertainer.Himmatwala, in other words, has a good story, screenplay, performances, comedy, action, music etc as per the hype. Ajay Devgn does his role with perfection as always. He is able to do full justice with the character. Tamannaah is not only cute and beautiful, but acts as well. In fact, her performance is the best in the movie. Others also do well. The songs are good and manage to recreate the retro feel. The action scenes are well choreographed and performed, they are the ones to come up with perfection after a long time. The story is good and also some emotional scenes are also well enacted.On the whole, Himmatwala is an entertainer, without any negatives, but if you have to watch it, be sure you haven&#x27;t watched the original one first, just like me! 
Stay As Far as Possible from Sajid khan Film!!!	1	Bangladesh	I remember Sajid khan made an statement prior release this film where he claim HIMMATWALAWill be the biggest hit of the year. That is my only guide to this movie and it was a massive blunder To trust this unabashed, dismal guy! I just lost my word after 10-15 minute &#x26; wonder whether cry or laugh!!The jokes was awful, unbearable&#x85;I never seen any 1 try this hard to make audience laugh and yet him/her Become ridicule. There was no story at all, Emotional seen make you laugh even more than joke, action seen were ridiculous,Better suit to a comic hero than film hero (slap a Tiger!!!).Heroine looks good in all songs but acting left lot to desire,Ajay must be ripping his hair off for his decision to sign this film..he could easily do without a sloppy role such as this. All I can say about sajid khan is he is a big NOTHING, a big disaster, a shameless, brainless, useless, hopeless fellow! Even Sajid &#x26; his family member could not watch this nightmare for 2/3 Hour let alone audience. If any 1 even thinking Of watching this movie just FORGET it, even if some 1 pay you to watch..now you know how bad is this movie!!! 
Text book example! how not to do a movie!	1	Cambridge, UK	Usually I don&#x27;t mind no brainer entertainers at least they bring some smile on your face. I am not going to comment on story because lack of it was expected as I knew I was going to watch Sajid Khan&#x27;s movie. But this movie didn&#x27;t even do justice even with its genre. There was only one good joke and that was on save the tiger which was already running TV adverts day in and day out. If Sajid Khan didn&#x27;t come with a good movie anytime soon then this might be his career&#x27;s last. I reckon that everyone from film crew who must have seen pre-screen should have stopped the movie. If projects turn out to be so bad then it should be benched. 
U need a lot of (himmat) courage  to sit thru this one.....	2	Bangalore, India	The 1980s were the dark ages of Hindi Cinema. The worst films came from there. Actually, its very easy for any person to make a list of the 10 best Hindi films of the 80s (due to lack of competition) and a difficult task to make a list of the 10 worst Hindi films of the 80s (due to heavy competition).The original Himmatwala belonged to no mans land. It was neither good nor bad....OK for the 80s. But hats off to Sajid Khan, he ensure the remake will hands down appear in the list of the worst films of this decade.What was Sajid Khan smoking while writing this movie?? Frankly, he is an idiot who thinks he makes gr8 cinema. Sorry Sajid but every time crap can&#x27;t make money at BO. I&#x27;ve no words to describe this film and had lost my senses by the time it got over. Many yrs ago, In &#x27;Yaadien&#x27; to make Hrithik and Kareena fall in love, the legendary Subhash Ghai used a crocodile. Guess what, Sajid uses a tiger...yup !! And he goes a step further. In the climax, when Devgn&#x27;s character is being beaten up and his mother calls for help, the same tiger reappears and saves Devgn. Yup !! U have to see it to believe it.I really don&#x27;t know why Devgn who such a brilliant actor is doing such crap. And over the years, he staring in crap films like Golmaal series, Rascals, Son of Sardar and now Himmatwala is baffling. The original worked because Amjad Khan, Kader Khan and Jeetendra shared some good on screen chemistry. Nothing works here.My sincere advise...if u want to watch Devgn, watch him in Hum Dil De Chuke Sanam or Company or even Singham. And if want to watch a tiger on screen, then Life of Pi is a far better choice. 
Himmat Wala - A Tribute To Amitabh and Not To Jetendra	3	Karachi, Pakistan	Before reviewing the new Himmatwala, allow me to introduce you with some facts related to 1983&#x27;s Himmatwala. K. Raghavendra Rao&#x27;s Himmatwala (1983) was an experimental film, in which he signed a sinking mega-star of early 1980&#x27;s Jetendra, whose movies were drowning deeply at the box office back in those days. Similarly, Sridevi was signed because of limited budget as she was planning to leave the industry because of constant flops. On the contrary, Kader Khan, who used to play negative roles, was also not getting any movies. The concept of remakes of south Indian movies was also fresh at that period of time. So, all in all, it was their hard work and commendable script with astounding performances which made Himmatwala a fare that not only started the team (Jetendra, Sridevi, Kader Khan, Amjad Khan, Shakti Kapoor and Asrani) to launch numerous block-busters but also gave a reason to copy it even after 3 decades. Sajid Khan&#x27;s Himmatwala is a literal copy of the original Himmatwala. Although, he has mentioned at many platforms that his movie has a few elements of the original one but if you see the original movie, dialogues, character names, scenes and at places background score have also copied from it. There are minor amendments which add no weight to the movie.If Sajid Khan says that this particular movie is a tribute to 1980&#x27;s cinema then he should rephrase it as a tribute to the &#x22;Young Angry Man&#x22; of 1980&#x27;s Amitabh&#x27;s movies. The reason to quote this is that 5 action scenes from this movie reminded me of Amitabh&#x27;s movies. A &#x96; Title Track reminded me of Shan&#x27;s &#x22;Pyar Karnewalay Pyar Kartay Hain Shaan Se&#x22;, filmed on Parveen Babi. B &#x96; Cage fight of Ajay Devgan made me recall Amitabh&#x27;s cage fight from Naseeb. C &#x96; The scene where Ajay Devgan holds the dagger from sharp end while saving his sister from &#x22;Dhanna&#x22;, reminds me of the scene from &#x22;Kaala Patthar&#x22; where Amitabh did the same with a character named &#x22;Dhanna&#x22; (played by Ashok Saxena). D &#x96; The much talked about tiger fight again makes me recall Amitabh&#x27;s tiger fight from &#x22;Khoon Pasiina&#x22;. E &#x96; The fight sequence just before the song &#x22;Bump Pe Laat&#x22; where Ajay converses in 5 different languages with goons gives me a vivid remembrance of a similar scene from Amitabh&#x27;s &#x22;Laawaris&#x22;Anyways, the plot is similar and it tells a story of a malicious Sarpanch Sher Singh (Mahesh Manjrekar) who defames Ravi&#x27;s (Ajay Devgan) father to an extent where he commits suicide and his family suffers a lot of pain. Years after, Ravi returns to take revenge from Sarpanch. I am a fan of 70&#x27;s and 80&#x27;s movies, this was the mere reason why I chose to watch the new Himmatwala but experience was nothing but sheer pain. First of all, Ajay looks totally misfit for the role; he failed to pass the wittiness which Jetendra portrayed in his style. His &#x22;Atta Maajhi Sattakli&#x22; style has now stuck to him &#x96; its time to come up with something original and much entertaining. Mahesh Manjhrekar is a very talented actor but he looks cheap and acts loud in this fare. Even he failed to meet Amjad Khan&#x27;s comical expressions and terrifying persona. Adhyayan Suman as Shakti does not even come close to Shakti Kapoor in a single scene. Tamanna Bhatia (a renowned and successful Tamil actress) has screen presence but when it comes to performing, she needs to focus on that. The only character that stands out (to some extent) in the movie is Paresh Rawal (enacting the role of Kader Khan). He manages to copy the appearance and tone of Kader Khan and with his dialogues, his earnest attempt is visible in every scene. Asrani is the only actor who has appeared in both the Himmatwalas but in the newer version he is wasted. Ritesh Deshmukh appears in a cameo and he is as usual &#x96; typical. Zarina Wahab is efficient. It&#x27;s saddening that this film has great performers and super stars but even then the film failed to create a magic at the box office.If you really want to get heavy dose of entertainment watch the original one.Rating 3.5 / 10 
entertainer	10	new delhi	The Film is a remake of the 1983 blockbuster &#x27;Himmatwala&#x27; *ing Jeetendra &#x26; Sreedevi.Ajay Devgan as Ravi did a great job, except in dance sequences. The punch lines, fights, ferocity in the eyes etc hit the bulls eye. Tamanna looked beautiful but needs to work on her acting skills..Paresh Rawal,was great nd was really entertaining..Zarina Wahab was good, so is Leena Jumani, Ajay&#x27;s sister! Junior Suman as usual wasted, mahesh manjerakar was a biggest disappointment, he was total misfit , he lacked that cruelness nd even comic sense which was expected.. 
80s Reloaded has some good moments	7	nz	I have seen the Jeetu starring Himmatwala. And i have to admit the kind of humor and typical humor of 80&#x27;s. It has been captured well and reincorporated in this project by Sajid Khan. In my opinion because the audience has grown from 80s and has become more mature. It might seem too lengthy or boring or senseless. But that is how movies of 80;s were at that time. If you have patience and if you were charmed by 80s era. You will absolutely love the movie and think of it as a visual delight. Humour fun and lot of drama with fantastic comedy scenes. Music has been themed after 80&#x27;s era as well. Very peppy and upbeat music although fewer songs would have done more justice as audience is losing patience these days. I hope it appeals to audience who were born before 1990&#x27;s. I am sure Iphone might not relate to it much. 
Movie of 90s	5	India	I watched the movie. It was a good movie. The Director has tried his level best to depict the scene of 90s movies. I want to tell all the people who has given such a horrible reviews saying that the movie was awful... that YOU don&#x27;t have the sense of watching movie. The director tried to take us back to enjoy the 90s movie. Istead you started comparing it to the latest movies. Think and than review. Don&#x27;t get me wrong. Just don&#x27;t judge too quickly. Any ways the movie direction was not too good. But we must enjoy movie. Movie is to be entertained rather than to use our brain always when we watch the movie. If we think too much, we will miss many good shots.And if anybody don&#x27;t agree with me .. I don&#x27;t give a F**k.Thank You! 
Difficult to digest this typical eighties mellow drama	5	Mumbai, India	Now cinema has grown up very much so audiences are ready to accept new way of presentation of emotions. This is a typical hard core mellow drama film. A person life is in danger. Her mother prays to Goddess Durga, for saving his life and suddenly a Tiger appears and saves him. Makers have followed very closely the old Himmatwla (Jeetendra and Shri Devi starrer). There is no any new approach on this old subject. So, if you love to watch something new. This movie will disappoint you for sure. Even few dialogues from old one has been repeated. Performance wise Ajay Devgan s OK. Paresh Raval and Mahesh Manjrekar are superb. Tamnna fails to impress except in the song &#x22;Naino Me Sapna&#x85;&#x22; Actress who played Ajay Devgan sister is fine. They have also kept the old track of film and certainly they are very good in comparison to the other songs. 
Blast From The Past!	5	India	An official remake of the 1983 blockbuster of the same name, which was directed by K. Raghavendra Rao &#x26; starred Jeetendra and Sridevi, &#x27;Himmatwala&#x27;, Directed by Sajid Khan, is old wine in an old bottle. Its A Blast From The Past! &#x27;Himmatwala&#x27; takes us back in time, when Hindi Cinema relied on South-Remakes to keep the cash register&#x27;s running. Stars like Jeetendra, Mithun Chakraborty, Sridevi, Anil Kapoor, to name a few, starred in the remakes which were major successes back in the day.Sajid delivers &#x27;Himmatwala&#x27; plainly, his film is a cut-copy-paste 80&#x27;s potboiler, that stays true to its genre. However, the film is strictly aimed at the masses. Its primarily for the front-bencher&#x27;s!&#x27;Himmatwala&#x27; tells the story of a Brave Son&#x27;s battle to abolish an evil landlord, who was responsible for his father&#x27;s death. &#x27;Himmatwala&#x27; isn&#x27;t meant to be taken seriously &#x26; I not for a single minute took it seriously in any which manner. But, Sajid&#x27;s Screenplay, definitely could&#x27;ve been stronger. Sajid&#x27;s Direction, on the other-hand, is mediocre. Cinematography &#x26; Editing are fair. Action-Sequences will be loved by the masses, its target audience. Music by Sajid-Wajid is foot-tapping. Art Design is first-class.Performance-Wise: Ajay is a competent actor &#x26; he plays the unbeatable hero, with sincerity. He&#x27;s the soul of the film. Tamannaah looks stunning, but gets limited scope. Zarina Wahab is exceptional, yet again. Paresh Rawal &#x26; Mahesh Manjrekar play the villains with ease. Leena Jumani is functional. Adhyayan Suman is alright. Ritesh Deshmukh appears in a small role. Sonakshi Sinha sizzles in the opening song.On the whole, &#x27;Himmatwala&#x27; is a film for the masses. 
